County,DC,CC,DistrictOffice
Scurry,8A, 415,Abilene
Shackelford,7B, 417,Abilene
Shelby,6, 419,Kilgore
Sherman,10, 421,Pampa
Smith,6, 423,Kilgore
Somervell,7B, 425,Abilene
Starr,4, 427,Corpus Christi
Stephens,7B, 429,Abilene
Sterling,8, 431,Midland
Stonewall,7B, 433,Abilene
Sutton,7C, 435,San Angelo
Swisher,10, 437,Pampa
Tarrant,5, 439,Kilgore
Taylor,7B, 441,Abilene
Terrell,7C, 443,San Angelo
Terry,8A, 445,Abilene
Throckmorton,7B, 447,Abilene
Titus,6, 449,Kilgore
Tom Green,7C, 451,San Angelo
Travis,1, 453,San Antonio
Trinity,3, 455,Houston
Tyler,3, 457,Houston
Upshur,6, 459,Kilgore
Upton,7C, 461,San Angelo
Uvalde,1, 463,San Antonio
Val Verde,1, 465,San Antonio
Van Zandt,5, 467,Kilgore
Victoria,2, 469,San Antonio
Walker,3, 471,Houston
Waller,3, 473,Houston
Ward,8, 475,Midland
Washington,3, 477,Houston
Webb,4, 479,Corpus Christi
Wharton,3, 481,Houston
Wheeler,10, 483,Pampa
Wichita,9, 485,Wichita Falls
Wilbarger,9, 487,Wichita Falls
Willacy,4, 489,Corpus Christi
Williamson,1, 491,San Antonio
Wilson,1, 493,San Antonio
Winkler,8, 495,Midland
Wise,9, 497,Wichita Falls
Wood,6, 499,Kilgore
Yoakum,8A, 501,Abilene
Young,9, 503,Wichita Falls 
Zapata,4, 505,Corpus Christi
Zavala,1, 507,San Antonio
