rrcDist,nLeaseRep,nLeaseDelq,nWellFlow,nWellOther,bblAllowMonth,bblAllowDelqMonth,bblReportedMonth,bblReportedDay,pctUnderProduced,pipeline,trucks,otherTrans,bblClosingStock,date
1,5937,65,3195,17699,29479991,478008,14807030,477646,49.21,7237724,7575261,24530,1662186,2017-01-01
10,3271,65,665,8563,5233050,41416,933272,30106,81.89,53272,873920,1564,978663,2017-01-01
2,2510,30,1899,3267,23132936,106017,12638061,407679,45.21,9013492,3620228,13468,726785,2017-01-01
3,5775,134,1952,5959,4200921,71052,2541319,81978,38.91,566441,1992467,5963,1124336,2017-01-01
4,1160,16,199,1133,388634,4278,232113,7488,39.89,22899,207658,1421,161748,2017-01-01
5,966,10,258,1364,1154006,12152,546868,17641,52.24,22868,537277,120,171428,2017-01-01
6,3359,35,430,7495,6651061,6324,976795,31510,85.31,354991,612121,934,564417,2017-01-01
7b,5098,147,382,8614,1429609,30466,839332,27075,40.54,263139,566949,1922,637729,2017-01-01
7c,6048,51,749,16521,17719921,42670,8370891,270029,52.68,4669427,3697722,8842,1496302,2017-01-01
8,16755,98,6441,51860,53617065,516551,29851784,962961,43.99,17438574,12432735,44192,5539967,2017-01-01
8a,4391,62,1008,22313,10338018,14012,8243967,265934,20.21,6265931,1970739,3248,985901,2017-01-01
9,7407,204,674,17160,1749446,66851,851472,27467,49.99,68639,762367,1181,948919,2017-01-01
1,5958,63,3148,17555,28585281,51336,15056333,485688,47.27,7230724,7829698,18443,1705871,2016-12-01
10,3258,31,655,8954,5146495,12307,1058014,34129,79.36,70835,936147,1325,996161,2016-12-01
2,2504,28,1818,3312,21801675,473334,11456164,369554,46.69,8159411,3278842,10876,724793,2016-12-01
3,5260,596,1647,5761,4303067,214985,2450951,79063,41.29,568687,1852072,4094,1057029,2016-12-01
4,1152,7,227,1122,394227,930,233277,7525,40.74,26242,206174,641,164041,2016-12-01
5,963,9,258,1321,1155959,53382,480029,15485,56.86,20569,434140,220,180317,2016-12-01
6,3360,25,451,7476,6627444,5270,989344,31914,85.07,359478,621817,945,557452,2016-12-01
7b,5217,80,386,8712,1380246,17918,851791,27477,37.83,264563,587006,1679,643006,2016-12-01
7c,6025,58,733,16588,13552242,18173,7957127,256682,41.24,4602705,3341666,9650,1481536,2016-12-01
8,16673,95,6421,51755,53729478,234803,29676673,957312,44.61,17660160,11803258,43466,5597172,2016-12-01
8a,4419,43,983,22422,9994821,23224,8218529,265114,17.69,6271856,1938646,2190,980706,2016-12-01
9,7444,203,709,17172,1793770,63160,845225,27265,51.65,72923,785399,1301,933759,2016-12-01
1,5941,46,2352,15714,35174104,18132,14910383,497013,57.59,7051458,7821038,11450,1733696,2016-11-01
10,3142,67,586,8029,4930972,50250,1037292,34576,78.61,71716,978081,1107,884514,2016-11-01
2,2515,25,1892,3092,21778083,111540,10237124,341237,52.81,6825913,3372191,11094,721398,2016-11-01
3,5669,209,1816,5461,3883710,114060,2430024,81001,36.4,538586,1872953,4172,1102133,2016-11-01
4,1115,19,221,1065,348140,4410,227317,7577,34.26,25267,207055,250,159914,2016-11-01
5,945,5,251,1287,1240290,420,520235,17341,58.04,20068,508609,425,163107,2016-11-01
6,3377,45,425,7405,6083985,8070,951343,31712,84.36,327360,611033,997,549694,2016-11-01
7b,5141,89,375,7779,4292733,16782,840299,28010,80.29,249923,580376,722,638581,2016-11-01
7c,5923,88,712,16254,12535595,86370,7876705,262557,36.92,4616873,3225791,8398,1467899,2016-11-01
8,16549,125,6190,51204,50364444,274056,28516140,950538,43.19,17182663,11249416,28892,5347255,2016-11-01
8a,4429,24,1004,21917,9692676,5580,7970044,265668,17.75,6094948,1862321,2017,979051,2016-11-01
9,7554,123,711,15437,1654584,22770,842585,28086,48.59,64972,781220,767,952016,2016-11-01
1,5893,64,2727,15812,35680174,51336,15368142,495747,56.88,7396944,8011075,14166,1688088,2016-10-01
10,3108,88,565,8343,4785735,54684,1046837,33769,77.73,60771,972099,6176,920798,2016-10-01
2,2490,37,1872,3070,23809534,41812,10585858,341479,55.48,7213704,3375498,8008,677252,2016-10-01
3,5849,79,1910,5686,4321281,44405,2580501,83242,39.92,545536,2026586,6324,1109372,2016-10-01
4,1082,20,223,1083,373140,4922,238224,7685,35.7,29556,207801,238,158334,2016-10-01
5,962,8,248,1429,1274720,10013,527787,17025,58.32,23434,493985,424,171809,2016-10-01
6,3350,33,424,7253,1580907,5704,962968,31063,39.09,333080,623395,1216,536127,2016-10-01
7b,5111,104,384,8166,4444118,20675,848018,27355,80.76,253647,605920,865,629574,2016-10-01
7c,6013,45,745,16250,12043860,31676,7965104,256939,33.77,4661519,3285700,8579,1462333,2016-10-01
8,16524,105,6203,51640,52412673,522226,29293426,944949,43.76,17963077,11237838,47653,5327227,2016-10-01
8a,4430,25,997,22313,10061092,12361,8277718,267023,17.68,6319003,1962541,3618,964402,2016-10-01
9,7502,110,731,16369,1799345,33892,874527,28211,50.74,59911,806757,1701,953768,2016-10-01
1,5876,112,2219,17617,35083251,152698,14834554,494485,57.56,7239491,7581767,19153,1751860,2016-09-01
10,3232,68,627,9203,4822972,26945,1057313,35244,77.88,68963,1022008,1350,941745,2016-09-01
2,2469,59,1929,3178,25273294,1099440,10124210,337474,58.42,6810993,3313446,11838,685665,2016-09-01
3,5854,94,2006,6238,4438836,63990,2537245,84575,42.34,511812,2018722,6426,1098298,2016-09-01
4,1088,38,243,1124,369315,17570,221523,7384,38.35,26654,196761,14,161785,2016-09-01
5,952,22,254,1458,1433700,10050,519614,17320,63.51,22780,495762,619,161664,2016-09-01
6,3367,74,450,7898,1648548,18600,944766,31492,42.69,338497,611474,583,530099,2016-09-01
7b,4989,230,413,8803,4406566,37720,811241,27041,81.29,240845,562279,1404,630291,2016-09-01
7c,5963,97,777,16833,11780078,65390,7386210,246207,37.1,4307765,3078617,6840,1448355,2016-09-01
8,16458,238,6501,52976,54133777,396270,27698032,923268,48.58,16625805,11076772,50327,5251248,2016-09-01
8a,4395,66,1003,22753,10014893,115200,7923294,264110,20.48,6075556,1844982,2037,965502,2016-09-01
9,7543,201,788,18936,1910659,41185,865380,28846,53.95,67141,783349,1721,954367,2016-09-01
1,5799,177,2245,17380,35426640,466292,15094949,486934,56.93,7412580,7667635,12927,1694856,2016-08-01
10,3212,83,661,9272,5099167,48422,1075624,34698,78.57,45605,998707,3873,961031,2016-08-01
2,2448,78,1900,3158,26527093,372806,10913341,352043,58.37,7451537,3455501,7712,696262,2016-08-01
3,5819,155,1996,6201,4778276,68386,2661383,85851,43.8,496678,2144745,6672,1093704,2016-08-01
4,1095,44,238,1131,381517,9455,233263,7525,37.99,27447,207437,60,160762,2016-08-01
5,957,17,259,1487,1483655,2630,539312,17397,63.59,23380,516835,197,160461,2016-08-01
6,3414,37,458,7948,1684016,9951,976813,31510,42,350928,605508,11255,544666,2016-08-01
7b,5117,155,430,9056,1455981,24180,847298,27332,41.22,248957,592364,1547,635880,2016-08-01
7c,5994,68,826,16880,12914288,79298,7777721,250894,39.56,4526316,3252657,8006,1463906,2016-08-01
8,16524,166,6461,53067,56161660,292202,29385337,947914,47.5,17485636,11858489,46285,5326646,2016-08-01
8a,4409,52,1065,22399,10321019,109733,8250886,266158,19.69,6327307,1900864,1957,965856,2016-08-01
9,7536,199,800,18824,2095366,50153,901499,29081,56.14,76686,821695,2954,934982,2016-08-01
1,5871,108,2120,18194,34739283,268718,15357263,495396,55.52,7723518,7586909,15316,1735697,2016-07-01
10,3090,169,738,9161,4173511,263778,1060839,34221,72.37,51101,1006765,1048,905406,2016-07-01
2,2432,84,1870,3173,27053985,463365,11571958,373289,56.63,7843593,3728033,9014,691462,2016-07-01
3,5839,151,2047,6167,4914718,55732,2609060,84163,46.52,516736,2104156,5476,1088634,2016-07-01
4,1144,37,242,1160,398572,12121,242659,7828,38.05,29077,208896,349,164368,2016-07-01
5,973,10,258,1527,1563764,3348,587191,18942,62.38,24267,561792,241,163679,2016-07-01
6,3377,70,461,7953,1720996,21235,954595,30793,44.53,342506,612083,659,533363,2016-07-01
7b,5089,187,405,9034,1565719,31620,846752,27315,45.21,251768,598516,1393,616062,2016-07-01
7c,5975,98,844,16874,14272688,90377,7875811,254058,44.6,4597009,3271991,5586,1463468,2016-07-01
8,16509,172,6520,52965,57365471,552056,28944397,933690,49.21,16918078,11869156,54875,5330822,2016-07-01
8a,4422,53,1067,22744,10351434,13888,8293895,267545,19.83,6340637,1966781,2287,954612,2016-07-01
9,7544,226,804,18657,2128871,47110,893300,28816,57.26,71194,818568,2204,940756,2016-07-01
1,5736,211,2020,17728,32421103,1314641,14708222,490274,53.21,6812235,7913127,17183,1661789,2016-06-01
10,3128,141,748,9091,3928247,250694,1053369,35112,70.95,40112,1047353,1121,915154,2016-06-01
2,2475,56,1858,3210,24713511,699900,11867271,395576,50.99,8118037,3719066,14252,707410,2016-06-01
3,5877,133,2062,6229,4535946,60270,2490892,83030,44.62,513530,2018596,3592,1107767,2016-06-01
4,1152,26,266,1148,411370,8260,240060,8002,40.94,30683,211843,637,158717,2016-06-01
5,957,20,256,1513,1412990,42410,553982,18466,59.74,24204,534402,221,159214,2016-06-01
6,3404,57,460,7961,1671930,31560,928623,30954,44.46,342581,593897,1439,546857,2016-06-01
7b,5083,192,410,9220,1549847,31755,828209,27607,45.84,247695,591870,1129,618936,2016-06-01
7c,5980,77,847,16913,13627460,50739,7463695,248790,45.1,4176600,3287944,17028,1442554,2016-06-01
8,16557,123,6593,53507,54771099,681121,27702885,923430,48.99,15600732,12044887,46147,5238782,2016-06-01
8a,4442,53,1074,22486,19992375,25356,8020585,267353,59.84,6147513,1871707,1776,969657,2016-06-01
9,7616,163,831,18863,2060829,46050,865399,28847,57.23,72341,834190,2030,927920,2016-06-01
1,5804,181,3110,16775,31049327,199299,15515563,500502,49.8,7648665,7822057,14202,1772798,2016-05-01
10,3172,149,747,9713,3995970,85684,1119017,36097,71.25,44603,1080643,1626,959789,2016-05-01
2,2402,80,2252,2742,27847012,1699985,12242527,394920,53.9,8537974,3712569,7410,651623,2016-05-01
3,5840,135,2104,6206,5042909,124899,2638080,85099,46.82,570524,2049083,5557,1138489,2016-05-01
4,1151,35,269,1135,424236,7223,249790,8058,40.52,30563,218007,611,162301,2016-05-01
5,955,18,250,1444,1509033,26401,554338,17882,62.65,27331,528233,382,160980,2016-05-01
6,3357,128,445,7843,1756169,38843,954747,30798,45.63,349228,602197,7787,551721,2016-05-01
7b,5145,182,402,9120,1578745,38436,840828,27123,45.89,255924,582174,1246,649421,2016-05-01
7c,5965,94,839,17069,14307193,72103,7689073,248035,46.08,4362582,3312347,10619,1474517,2016-05-01
8,16494,131,6484,53810,54701313,947507,28338159,914134,47.59,16205209,12066240,48519,5201618,2016-05-01
8a,4462,39,1097,22652,20432422,21279,8292309,267494,59.38,6404550,1862140,2237,977381,2016-05-01
9,7599,184,822,18805,2178162,103653,915701,29539,56.29,79298,828992,2283,982458,2016-05-01
1,5850,127,2929,17008,30135327,910893,15240787,508026,48.37,7622842,7601944,49472,1709204,2016-04-01
10,3209,125,787,9418,4393780,62828,1136901,37897,73.62,37028,1077636,1696,983285,2016-04-01
2,2489,31,2315,2750,28760332,607620,12635242,421175,55.33,8506264,4080378,9794,706641,2016-04-01
3,5890,103,2120,6304,4922460,108630,2634878,87829,45.7,579046,2041621,4792,1126026,2016-04-01
4,1173,29,270,1172,418803,11460,251863,8395,38.9,29443,217467,457,167546,2016-04-01
5,938,26,226,1503,1124562,93252,454616,15154,56.67,39652,414051,249,152359,2016-04-01
6,3391,92,465,7874,1919476,27060,925640,30855,51.78,320747,604863,647,563739,2016-04-01
7b,5205,158,395,9239,1495318,29450,880284,29343,40.44,265415,599757,1963,656478,2016-04-01
7c,5982,67,850,17123,14596446,85320,7785305,259510,46.46,4271367,3507492,10757,1486810,2016-04-01
8,16497,103,6508,54102,50600072,567366,27084338,902811,46.08,14664024,12387682,45758,5167882,2016-04-01
8a,4467,42,1098,22923,19974039,27792,8216475,273883,58.82,6354603,1855309,1267,949670,2016-04-01
9,7615,160,822,19388,2159632,83310,911443,30381,56.45,72892,821634,2192,986043,2016-04-01
1,5865,122,2931,17022,32176511,174034,16460094,530971,48.66,8405130,8096809,16363,1778035,2016-03-01
10,3246,111,788,9787,4993367,87978,1248633,40278,74.38,35579,1243471,1597,967580,2016-03-01
2,2480,44,2290,2730,30894114,303512,13382638,431698,56.34,8995685,4398872,7725,669801,2016-03-01
3,5872,91,2113,6384,5131516,60076,2751782,88767,45.97,615559,2133442,6088,1103201,2016-03-01
4,1174,34,275,1158,466276,12090,261442,8434,43.02,33765,238246,673,157024,2016-03-01
5,932,20,231,1474,1089142,44950,489135,15779,53.65,43484,452488,170,151153,2016-03-01
6,3466,43,472,8033,2002042,11656,965211,31136,51.79,346517,619530,1753,569366,2016-03-01
7b,5281,127,406,9412,1549665,23126,917456,29595,40.27,277904,656698,2731,647946,2016-03-01
7c,6033,41,921,17200,14652665,50337,8117290,261848,44.48,4263720,3871640,9302,1498207,2016-03-01
8,16371,141,6186,54480,49768531,611533,27116154,874715,45.09,14871473,12298937,38691,5126171,2016-03-01
8a,4464,44,1096,22901,20432613,44268,8598200,277361,57.84,6647577,1975263,1506,941495,2016-03-01
9,7658,171,835,19195,2185861,44684,962561,31050,55.25,79278,908893,1258,976153,2016-03-01
1,5701,175,2842,16976,30655173,938779,15522343,535253,48.29,7863772,7643642,22063,1790288,2016-02-01
10,3286,90,794,10002,4855622,363341,1212904,41824,72.4,48450,1152491,1780,1016877,2016-02-01
2,2494,42,2229,2739,30286800,455990,13157490,453707,56.03,9017640,4116689,13237,685996,2016-02-01
3,5863,100,2082,6357,4902135,143289,2636748,90922,45.19,609340,2015476,5574,1104979,2016-02-01
4,1175,33,254,1187,454695,9296,258084,8899,42.52,32689,221674,306,173360,2016-02-01
5,943,16,238,1509,987072,45645,453674,15644,52.42,38740,415550,139,156153,2016-02-01
6,3452,71,444,8010,1892460,28623,939131,32384,50.38,331928,613672,697,568785,2016-02-01
7b,5230,181,404,9382,1460425,45450,854623,29470,40.39,250350,600037,1437,654862,2016-02-01
7c,6001,72,939,17125,14159753,114744,7326388,252634,47.98,3715503,3657866,8700,1517894,2016-02-01
8,16481,89,6056,54803,47311971,374061,25190488,868638,46.48,13110175,12068075,36746,5227259,2016-02-01
8a,4474,59,1107,22949,20195848,19807,8118741,279957,59.77,6229384,1880971,1975,974672,2016-02-01
9,7676,166,825,19180,2042020,50676,915476,31568,54.3,71884,829117,2299,1003716,2016-02-01
1,5656,196,2857,16638,34461349,507475,17319626,558698,49.23,8674205,8622973,30876,1864601,2016-01-01
10,3303,56,795,10190,5422635,49768,1335425,43078,75.05,54481,1314109,1334,1015849,2016-01-01
2,2482,35,2156,2747,31702381,58807,14064683,453699,55.57,9526068,4523104,10969,698539,2016-01-01
3,5795,139,2094,6261,5040044,48453,2817389,90884,43.76,648396,2177890,2618,1083059,2016-01-01
4,1169,35,259,1187,496374,10602,275140,8875,43.82,32722,235965,625,169006,2016-01-01
5,941,11,239,1471,1082481,18879,501543,16179,53.06,49861,456340,147,155961,2016-01-01
6,3493,34,466,7997,2030192,22754,1010350,32592,50.23,356734,647989,669,580740,2016-01-01
7b,5204,211,388,9324,1546153,42836,931988,30064,38.75,271021,676299,1737,655204,2016-01-01
7c,5960,87,1093,17151,13770980,50344,7647728,246701,44.34,3953742,3758969,10377,1556695,2016-01-01
8,16254,224,5861,54460,49282164,623878,26444774,853057,45.9,13702056,13178063,43670,5220086,2016-01-01
8a,4480,37,1153,23064,20811408,12741,8699495,280629,58.18,6756646,2041769,2527,971503,2016-01-01
9,7550,266,797,18976,2145527,74555,947269,30557,54.63,67039,902442,1123,975184,2016-01-01
1,5873,67,2779,17534,34766341,582787,17556405,566336,48.92,8845012,8714687,26270,1900062,2015-12-01
10,3356,56,804,9951,5776930,58652,1308152,42198,77,38943,1304820,989,1058426,2015-12-01
2,2483,30,2035,2762,30203813,233471,12549195,404813,58.18,8113383,4429818,11470,678658,2015-12-01
3,5864,80,2163,6257,5742840,29898,2897810,93478,49.36,656658,2255228,5690,1109285,2015-12-01
4,1170,47,223,1258,490538,10540,274983,8870,43.19,34509,239794,982,164615,2015-12-01
5,945,7,233,1442,997614,18600,498322,16075,49.4,54434,441542,113,173670,2015-12-01
6,3513,18,470,8061,1998834,4371,1003263,32363,49.81,340785,666820,1629,578694,2015-12-01
7b,5325,141,390,9522,1593353,28582,920788,29703,41.58,269417,661112,1589,686815,2015-12-01
7c,5996,76,1103,17168,13965361,173103,7381807,238123,46.71,3678177,3697965,11829,1628220,2015-12-01
8,16390,88,5908,55029,49094859,428296,25023288,807203,48.73,12651754,12167638,31184,5673132,2015-12-01
8a,4478,43,1148,23142,30770739,15097,8476843,273447,72.43,6547876,1883917,3014,1072983,2015-12-01
9,7665,164,806,19240,2184084,83469,965209,31136,54.47,58912,922904,2024,1013088,2015-12-01
1,5784,127,3106,16792,40998848,886406,16924717,564157,57.96,8346712,8539869,26879,1892613,2015-11-01
10,3369,37,799,10184,6167052,28170,1358773,45292,77.81,51965,1214283,440,1114045,2015-11-01
2,2449,43,1988,2642,31572295,316500,11430550,381018,63.44,6716034,4723059,10682,658340,2015-11-01
3,5821,96,2143,6236,5441773,85262,2774101,92470,48.47,626734,2109318,4193,1113235,2015-11-01
4,1128,68,217,1227,476229,16500,259339,8645,44.33,33136,220010,442,160975,2015-11-01
5,951,8,236,1442,1054748,52590,487664,16255,52.02,49789,434008,3452,169148,2015-11-01
6,3506,31,474,8058,1940488,8253,1008694,33623,48.02,337211,661653,790,583712,2015-11-01
7b,5272,203,388,9483,1520384,40495,918664,30622,38.64,261872,637717,2121,686210,2015-11-01
7c,5959,126,1184,17014,13872381,130635,7472496,249083,45.8,3494853,3900084,9705,1611889,2015-11-01
8,16293,120,6967,53766,46509963,762963,24475667,815856,46.8,11968150,12257307,28362,5445006,2015-11-01
8a,4474,44,1154,23135,20135028,12720,8507921,283597,57.72,6509310,1940225,7004,1027040,2015-11-01
9,7550,247,795,19077,2167903,117084,947946,31598,54.38,58931,863085,2231,1013285,2015-11-01
1,5686,146,3006,16794,42549695,1100670,17344284,559493,58.33,8103314,9168831,21361,1811042,2015-10-01
10,3316,77,839,9889,6008544,70480,1491543,48114,74.77,53745,1409895,1439,1009643,2015-10-01
2,2413,25,1886,2650,31340173,49724,12133491,391403,61.23,6899345,5210956,8754,675684,2015-10-01
3,5823,107,2178,6207,5574586,205829,2890008,93226,46.87,655488,2216628,5849,1072355,2015-10-01
4,1159,48,204,1283,522223,15934,267931,8643,47.63,38388,228176,1155,159529,2015-10-01
5,942,14,248,1459,1352623,44888,570817,18413,56.64,57400,440851,67,232424,2015-10-01
6,3499,31,494,8327,2311816,6262,1030844,33253,55.41,343094,676457,992,573683,2015-10-01
7b,5304,188,365,9379,1583213,50226,947031,30549,39.07,264042,664296,1550,678843,2015-10-01
7c,5947,166,1195,16963,14461547,124769,7752668,250086,46.09,3969800,3736636,9547,1532204,2015-10-01
8,16218,143,6860,53561,49366232,1337259,24417022,787646,49.59,11909132,12408556,28942,5178316,2015-10-01
8a,4526,22,1174,23176,20570686,7099,8782557,283308,57.29,6723734,2038524,1958,982219,2015-10-01
9,7408,325,775,18704,2286792,187316,979893,31609,54.28,57411,891438,2172,977764,2015-10-01
1,5642,150,2823,16884,42002340,988150,17163960,572132,58.31,7925352,9241376,18632,1778952,2015-09-01
10,3291,101,836,9511,6064680,79540,1461045,48702,75.45,40615,1424142,1309,974805,2015-09-01
2,2411,27,1800,2634,28496130,341970,12024995,400833,57.38,6952645,5079310,7702,655211,2015-09-01
3,5858,79,2188,6245,5558444,146640,2826853,94228,48.22,648646,2976122,3855,1067910,2015-09-01
4,1168,48,223,1330,524864,14400,278922,9297,45.9,45409,232791,376,160659,2015-09-01
5,940,20,255,1457,1517282,19991,511495,17050,65.83,48235,460644,162,169732,2015-09-01
6,3522,18,506,8334,6128528,2640,1044629,34821,82.95,348609,699563,583,567333,2015-09-01
7b,5342,149,410,9522,1541784,28333,956123,31871,37.34,263557,695670,1088,668014,2015-09-01
7c,5938,129,1178,17036,14165607,94240,7455478,248516,47.14,3851691,3605995,9524,1479634,2015-09-01
8,16141,149,7233,53334,50234201,978266,24152337,805078,51.24,11210298,12928115,49271,5092763,2015-09-01
8a,4461,57,1188,23033,20304047,59146,8353086,278436,58.76,6421835,1936067,1819,950172,2015-09-01
9,7629,169,796,19161,2146519,82260,967864,32262,53.57,58629,912113,1816,968759,2015-09-01
1,5620,228,2635,16313,42415109,1469689,17477447,563789,57.58,7670980,9803281,15343,1742029,2015-08-01
10,3337,45,819,10125,6417472,240616,1549958,49999,74.54,59948,1522236,1023,984797,2015-08-01
2,2419,18,1743,2664,27419690,18104,12576352,405689,54.11,7363713,5187670,4274,656947,2015-08-01
3,5821,104,2214,6220,6240429,96503,2984475,96273,51.63,661161,2322344,6330,1072105,2015-08-01
4,1137,77,217,1311,570552,32639,285299,9203,47.99,36137,247697,238,153783,2015-08-01
5,940,19,250,1472,1588618,62682,527918,17030,65.39,56295,467592,98,165106,2015-08-01
6,3514,40,508,8310,11221005,8246,1061640,34246,90.54,336719,707785,1297,557994,2015-08-01
7b,5339,178,404,9416,2040859,36175,985181,31780,51.11,278983,692627,1111,658982,2015-08-01
7c,5923,139,1192,16956,15305868,122458,7648325,246720,49.75,3468204,4179867,8420,1485603,2015-08-01
8,16134,154,7128,52566,57659271,2066079,24358522,785759,56.5,11065071,13255221,29156,5087179,2015-08-01
8a,4470,68,1198,23042,28309702,63355,8549215,275781,69.72,6576877,1987611,2552,957546,2015-08-01
9,7519,235,811,18938,2626298,114806,1019490,32887,59.65,61259,959289,2611,962105,2015-08-01
1,5721,126,2632,17044,43477333,713108,18309608,590633,57.31,7545371,10810000,23393,1787178,2015-07-01
10,3358,31,834,10176,6726842,85796,1566670,50538,76.26,61403,1523528,1119,1018284,2015-07-01
2,2429,13,1692,2666,25829729,15748,13079458,421918,49.34,7889357,5198898,9191,633926,2015-07-01
3,5865,82,2328,6073,6197851,48457,3069004,99000,50.21,680260,2396761,11008,1090252,2015-07-01
4,1188,42,221,1325,553729,10912,286335,9237,47.6,35335,250893,507,156476,2015-07-01
5,944,12,249,1529,1386981,12059,539400,17400,60.81,75338,469262,175,159669,2015-07-01
6,3482,74,500,8326,6703990,16182,1095526,35340,83.66,377059,731920,1348,539386,2015-07-01
7b,5289,189,406,9438,1665647,42110,970448,31305,40.85,270270,717432,1347,642968,2015-07-01
7c,5960,111,1227,16887,16242435,82140,7603809,245284,53.01,3410886,4245760,7696,1484303,2015-07-01
8,16082,172,7122,53160,52732592,1182025,24148833,778995,53.42,11215425,13001948,27100,5060214,2015-07-01
8a,4528,43,1197,23104,21099061,55955,8663037,279453,58.85,6711220,1977791,1568,980575,2015-07-01
9,7606,202,815,18948,2322705,70311,1037320,33462,54.28,60101,1007199,3424,973285,2015-07-01
1,5676,125,2341,17348,39250193,798270,16713656,557122,56.71,6874565,9896873,22620,1843692,2015-06-01
10,3327,32,831,10183,6591492,32190,1450587,48353,77.82,67898,1461425,742,1020637,2015-06-01
2,2385,16,1597,2673,22370826,134910,13161217,438707,40.96,8210650,4972536,14584,647124,2015-06-01
3,5841,104,2327,6019,6217497,85650,2855650,95188,53.59,657613,2239606,4326,1116813,2015-06-01
4,1188,49,245,1305,523286,9818,275935,9198,46.61,37820,243682,721,155171,2015-06-01
5,936,11,243,1493,1191483,14790,508302,16943,56.9,57881,459251,187,160314,2015-06-01
6,3569,13,503,8386,5642421,2700,1048540,34951,81.42,354761,702784,NA,572129,2015-06-01
7b,5345,148,413,9644,1661751,32077,944619,31487,42.48,260099,726796,1278,679791,2015-06-01
7c,6078,26,1256,17083,15276617,70380,7305290,243510,52.02,3224793,4127824,8573,1551778,2015-06-01
8,15980,146,7212,52573,49238588,1112842,23332795,777760,51.82,10822186,12586673,32628,5046976,2015-06-01
8a,4546,41,1195,23094,20623695,63779,8440024,281334,58.97,6517087,1977008,4875,1001728,2015-06-01
9,7636,204,816,18813,2180625,73550,971688,32390,54.26,57482,995008,2044,1017767,2015-06-01
1,5582,180,5066,14919,43043132,320943,17366689,560216,59.39,6908418,10436527,24566,1910618,2015-05-01
10,3319,20,831,10323,7222615,15934,1527780,49283,78.77,71992,1406200,759,1094523,2015-05-01
2,2413,21,1973,2236,25833797,70989,14268586,460277,44.67,8923152,5319509,17833,678323,2015-05-01
3,5696,203,2223,5963,5906711,106175,3036664,97957,47.96,688061,2339274,5421,1130146,2015-05-01
4,1184,58,244,1286,562953,25836,275498,8887,49.46,34290,233006,415,161892,2015-05-01
5,904,30,219,1482,1167938,150040,396656,12795,61.54,45728,353299,261,153675,2015-05-01
6,3533,30,498,8343,6236950,31651,1074421,34659,82.77,378308,680175,869,578595,2015-05-01
7b,5355,171,380,9752,1787528,40291,975107,31455,44.66,273654,672420,3661,728177,2015-05-01
7c,5946,110,1154,16858,16087191,119209,7526157,242779,52.96,3326502,4153961,8593,1583168,2015-05-01
8,15850,214,7179,52172,49493837,1231383,23981227,773588,50.68,11056806,12733902,35990,5141220,2015-05-01
8a,4491,72,1179,23033,21158538,76438,8731261,281654,58.61,6770076,1878621,2345,1052836,2015-05-01
9,7477,323,822,18443,2344772,73501,980067,31615,57.1,52117,866542,4506,1074817,2015-05-01
1,5630,133,4004,14898,41100037,820412,16865587,562186,58.27,6243388,10817103,20512,1889460,2015-04-01
10,3317,34,818,10323,7272185,508260,1484122,49471,77.15,28003,1485659,631,1034422,2015-04-01
2,2427,13,1975,2218,25146694,159996,13421518,447384,46.4,8046811,5363666,16836,661998,2015-04-01
3,5690,241,2167,5976,5365680,170544,2875000,95833,45.31,641720,2236696,6625,1108919,2015-04-01
4,1250,23,268,1337,538343,10800,265426,8848,49.99,33366,235302,836,159912,2015-04-01
5,879,42,202,1424,1031093,32520,396156,13205,60.48,59439,336807,211,149970,2015-04-01
6,3605,16,520,8368,6861303,14520,1086266,36209,84.17,375802,726448,3711,571887,2015-04-01
7b,5462,101,420,9795,1795082,22712,1018148,33938,42.84,274637,741325,1355,714643,2015-04-01
7c,6045,30,1088,17036,15527173,146722,7356904,245230,52.29,3294059,4196734,8991,1524722,2015-04-01
8,15838,156,7039,52316,45696032,1056149,22786428,759548,49.33,10793895,12252214,33365,4915373,2015-04-01
8a,4548,46,1133,23156,10880957,62218,8562077,285403,21.11,6656771,1936091,1895,978833,2015-04-01
9,7724,187,837,19351,2400691,58856,1055246,35175,55.19,59583,1019184,2792,1044512,2015-04-01
1,5576,133,4908,14725,41159675,565005,17920238,578072,55.98,6357560,11480172,43968,2069056,2015-03-01
10,3298,31,807,10398,7697855,91667,1657289,53461,78.05,63857,1661090,1525,1065195,2015-03-01
2,2413,17,1975,2176,25323369,295089,14944108,482068,40.58,9148802,5802751,13737,664463,2015-03-01
3,5681,216,2193,6007,5141998,135997,2785781,89864,44.9,629096,2136736,9259,1093664,2015-03-01
4,1196,45,250,1301,585576,19773,287932,9288,49.65,35449,244702,795,158984,2015-03-01
5,890,30,204,1445,1108479,47833,409354,13205,61.56,51500,361953,378,150482,2015-03-01
6,3602,NA,525,8329,7438375,NA,1148298,37042,84.56,399864,748262,3648,588570,2015-03-01
7b,5443,115,430,9857,1842473,21022,1040425,33562,43.13,286701,818896,1643,714272,2015-03-01
7c,5943,97,1160,16787,15016088,228915,7202749,232347,51.5,2947687,4481523,12554,1641917,2015-03-01
8,15704,193,7694,51046,45423574,1146819,22786765,735057,48.95,10838115,12392232,35316,5191272,2015-03-01
8a,4544,31,1121,23121,11401761,80166,9054205,292071,20.34,7049335,2160283,3120,1013782,2015-03-01
